LENGTH,JEDZENIE,CIALO,DRZEWA,ZWIERZETA,MEBLE
4,LODY,NOGA,GRAB,PIES,STÓŁ
4,TORT,RĘKA,KLON,OWCA,ŁAWA
4,DŻEM,UCHO,LIPA,WILK,BLAT
4,MIÓD,KARK,TUJA,MYSZ,SOFA
5,LIZAK,STOPA,SOSNA,JELEŃ,PÓŁKA
5,ROSÓŁ,ŁYDKA,OLCHA,ZAJĄC,ŁÓŻKO
5,CHLEB,SZYJA,JODŁA,BARAN,FOTEL
5,MASŁO,KCIUK,OSIKA,OSIOŁ,SZAFA
6,SZYNKA,KOLANO,BRZOZA,BORSUK,STOŁEK
6,SERNIK,ŁOKIEĆ,ŚWIERK,SZCZUR,SZAFKA
6,KOTLET,GARDŁO,TOPOLA,CHOMIK,BIURKO
6,GULASZ,BIODRO,AKACJA,ŻYRAFA,KOMODA
7,KANAPKA,POWIEKA,MODRZEW,PANTERA,WIESZAK
7,PIEROGI,PĘCHERZ,KASZTAN,ŚWISTAK,KREDENS
7,PARÓWKA,ŹRENICA,WIERZBA,RENIFER,PAWLACZ
7,SAŁATKA,MIĘSIEŃ,SEKWOJA,LAMPART,KRZESŁO